CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"474,050,280,994",CHICAGO PD,Chicago,"576,814,017,532",4,16A-3(a),15600,44,Male,Black,Retail Theft,Arthur F Hill,District 1 - Chicago,26TH Street,0
"474,060,286,607",CRESTWOOD PD,Crestwood,"576,836,453,169",3,16A-3(a),15601,32,Female,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,062,727,000",CHICAGO PD,Chicago,"577,154,236,780",4,16A-3(a),15600,40,Male,Black,Retail Theft,Dennis J Porter,District 1 - Chicago,26TH Street,0
"474,066,326,581",CHICAGO PD,Chicago,"576,838,172,689",4,16A-3(a),15600,45,Female,Black,Retail Theft,Sharon M Sullivan,District 2 - Skokie,Skokie Courthouse,0
"474,075,539,066",CHICAGO PD,Chicago,"576,843,085,602",4,16A-3(a),15600,48,Male,Black,Retail Theft,Arthur F Hill,District 1 - Chicago,26TH Street,0
"474,099,515,932",WILMETTE PD,Wilmette,"576,879,277,397",3,16A-3(a),15601,44,Male,White,Retail Theft,Marcia B Orr,District 2 - Skokie,Skokie Courthouse,0
"474,105,250,857",LANSING PD,Lansing,"576,897,291,413",4,16A-3(a),15600,30,Female,White,Retail Theft,James L Rhodes,District 6 - Markham,Markham Courthouse,0
"474,137,525,061",HODGKINS PD,Hodgkins,"576,945,683,609",3,16A-3(a),15601,33,Male,White,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,160,098,701",PALATINE PD,Palatine,"576,983,021,750",4,16-25(a)(1),16720,41,Male,White,Retail Theft,Jill  Cerone-Marisie,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"474,190,908,669",BROADVIEW PD,Broadview,"577,032,150,883",4,16A-3(a),15600,40,Male,Black,Retail Theft,William H Wise,District 4 - Maywood,Maywood Courthouse,0
"474,192,677,954",CHICAGO PD,Chicago,"577,034,034,167",4,16A-3(a),15600,51,Male,Black,Retail Theft,James B Linn,District 1 - Chicago,26TH Street,0
