CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"485,598,711,114",CHICAGO PD,Chicago,"593,825,962,502",3,16-25(a)(1),16722,24,Female,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"485,627,202,708",BLUE ISLAND PD,Blue Island,"593,884,508,052",4,16-25(a)(1),16720,49,Male,Black,Retail Theft,Frank G Zelezinski,District 6 - Markham,Markham Courthouse,0
"485,649,166,250",CICERO PD,Cicero,"593,909,973,320",3,16-25(a)(1),16722,29,Female,White,Retail Theft,Noreen Valeria Love,District 4 - Maywood,Maywood Courthouse,0
"485,658,927,824",CHICAGO PD,Chicago,"593,964,179,130",3,16-25(a)(1),16722,42,Male,Black,Retail Theft,Mary Margaret Brosnahan,District 1 - Chicago,26TH Street,0
"485,661,185,188",LINCOLNWOOD PD,Lincolnwood,"593,979,982,334",3,16-25(a)(1),16722,26,Male,White,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"485,667,164,152",HANOVER PARK PD,Hanover Park,"593,980,391,744",4,16-25(a)(1),16720,55,Male,White,Retail Theft,Jill  Cerone-Marisie,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"485,684,185,897",CHICAGO PD,Chicago,"593,984,485,838",3,16-25(a)(1),16722,30,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"485,699,133,307",OAK LAWN PD,Oak Lawn,"593,991,937,090",4,16-25(a)(1),16720,38,Female,White,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"485,726,953,793",CHICAGO PD,Chicago,"594,034,597,554",4,16-25(a)(1),16720,24,Male,Black,Retail Theft,Evelyn B Clay,District 1 - Chicago,26TH Street,0
"485,727,258,842",CHICAGO PD,Chicago,"594,037,627,184",4,16-25(a)(1),16720,47,Male,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"485,767,586,344",CHICAGO PD,Chicago,"594,087,001,963",3,16-25(a)(1),16722,26,Male,White,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"485,830,731,526",CHICAGO PD,Niles,"594,182,066,836",4,16-25(a)(1),16720,45,Male,White,Retail Theft,Marcia B Orr,District 2 - Skokie,Skokie Courthouse,0
"485,877,831,121",ORLAND PARK PD,Orland Park,"594,267,469,646",3,16-25(a)(1),16722,21,Female,White,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"485,894,364,787",CALUMET PARK PD,Calumet Park,"594,276,804,181",4,16-25(a)(1),16720,42,Male,Black,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,0
"485,907,176,853",CHICAGO PD,Chicago,"594,279,342,520",4,16-25(a)(1),16720,37,Male,White,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
"485,921,941,233",CHICAGO PD,Schaumburg,"594,285,238,016",3,16-25(a)(1),16722,33,Male,Black,Retail Theft,James B Linn,District 1 - Chicago,26TH Street,0
"485,922,673,351",ROLLING MEADOWS PD,Rolling Meadows,"594,285,074,252",4,16-25(a)(1),16720,43,Female,White,Retail Theft,Jill  Cerone-Marisie,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"486,003,877,445",HILLSIDE PD,Hillside,"594,429,841,431",3,16-25(a)(1),16722,22,Male,Black,Retail Theft,Carol A Kipperman,District 4 - Maywood,Maywood Courthouse,0
"486,041,459,505",CHICAGO PD,Chicago,"594,603,021,626",3,16-25(a)(1),16722,43,Male,Black,Retail Theft,William J Kunkle,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,041,642,534",CHICAGO PD,Chicago,"594,454,733,525",3,16-25(a)(1),16722,19,Female,Black,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
"486,060,311,545",CHICAGO PD,Chicago,"594,496,657,052",3,16-25(a)(1),16722,54,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"486,096,124,319",OAK PARK PD,Oak Park,"594,601,302,106",3,16-25(a)(1),16722,42,Male,Black,Retail Theft,Geary W Kull,District 4 - Maywood,Maywood Courthouse,0
"486,144,078,052",CHICAGO PD,Chicago,"594,653,952,161",4,16-25(a)(1),16720,58,Male,Black,Retail Theft,Nicholas R Ford,District 1 - Chicago,26TH Street,0
"486,151,826,301",CHICAGO PD,Chicago,"594,670,737,948",3,16-25(a)(1),16722,30,Male,White,Retail Theft,Michael  Brown,District 1 - Chicago,26TH Street,0
"486,157,988,295",CHICAGO PD,Chicago,"594,679,008,019",4,16-25(a)(1),16720,25,Male,Black,Retail Theft,Sharon M Sullivan,District 2 - Skokie,Skokie Courthouse,0
"486,168,726,026",CHICAGO PD,Chicago,"594,674,095,105",4,16-25(a)(1),16720,49,Male,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"486,178,609,620",CHICAGO PD,Chicago,"594,678,434,845",3,16-25(a)(5),16747,44,Male,White,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
"486,179,524,767",CALUMET CITY PD,Calumet City,"594,678,680,491",3,16-25(a)(1),16722,23,Female,Black,Retail Theft,Michele M Pitman,District 6 - Markham,Markham Courthouse,0
"486,197,766,709",MIDLOTHIAN PD,Midlothian,"594,684,412,223",3,16-25(a)(1),16722,38,Male,Black,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,0
"486,215,825,621",DES PLAINES PD,Des Plaines,"595,249,069,728",4,16-25(a)(1),16720,57,Male,Black,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
